Tahun,Merek,Model,Bahan_Bakar,Jenis_Kendaraan,Km
2013,RENAULT,CLIO_III,DIESEL,MANUAL,142089
2013,DACIA,LODGY,DIESEL,MANUAL,100104
2013,RENAULT,CLIO_III,DIESEL,MANUAL,144420
2013,OPEL,CORSA,DIESEL,MANUAL,74864
2013,RENAULT,FLUENCE,DIESEL,MANUAL,101327
2013,RENAULT,FLUENCE,DIESEL,MANUAL,"135452,0"
2013,RENAULT,FLUENCE,DIESEL,MANUAL,119189
2013,PEUGEOT,301,DIESEL,MANUAL,88026
2013,RENAULT,FLUENCE,DIESEL,MANUAL,138277
2013,RENAULT,KANGOO,DIESEL,MANUAL,90101
2013,RENAULT,FLUENCE,DIESEL,MANUAL,123548
2013,RENAULT,CLIO_III,DIESEL,MANUAL,90641
2013,RENAULT,FLUENCE,DIESEL,MANUAL,178498
2013,RENAULT,FLUENCE,DIESEL,MANUAL,155922
2013,RENAULT,CLIO_III,DIESEL,MANUAL,95497
2013,RENAULT,FLUENCE,DIESEL,MANUAL,199332
2013,RENAULT,CLIO_III,DIESEL,MANUAL,"71065,0"
2012,RENAULT,FLUENCE,DIESEL,AUTOMATIC,127995
2013,RENAULT,FLUENCE,DIESEL,MANUAL,140681
2013,DACIA,LODGY,DIESEL,MANUAL,87682
2013,RENAULT,CLIO_III,DIESEL,MANUAL,77564
2013,FORD,FIESTA,DIESEL,MANUAL,122091
2013,RENAULT,FLUENCE,DIESEL,MANUAL,135597
2013,RENAULT,FLUENCE,DIESEL,MANUAL,211478
2013,RENAULT,FLUENCE,DIESEL,MANUAL,218044
2013,RENAULT,CLIO_III,DIESEL,MANUAL,103699
2013,RENAULT,CLIO_III,DIESEL,MANUAL,"129462,0"
2015,PEUGEOT,301,DIESEL,MANUAL,34232
2013,RENAULT,FLUENCE,DIESEL,MANUAL,142624
2013,RENAULT,CLIO_III,DIESEL,MANUAL,67577
2013,RENAULT,FLUENCE,DIESEL,MANUAL,204197
2013,RENAULT,CLIO_III,DIESEL,MANUAL,99739
2013,RENAULT,CLIO_III,DIESEL,MANUAL,97243
2014,PEUGEOT,301,DIESEL,MANUAL,71741
2013,RENAULT,CLIO_III,DIESEL,MANUAL,103621
2016,PEUGEOT,301,DIESEL,MANUAL,28900
2015,PEUGEOT,301,DIESEL,MANUAL,103553
2013,RENAULT,CLIO,DIESEL,MANUAL,99102
2013,RENAULT,FLUENCE,DIESEL,MANUAL,176731
2013,RENAULT,CLIO_III,DIESEL,MANUAL,99483
2013,RENAULT,FLUENCE,DIESEL,MANUAL,147721
2013,RENAULT,CLIO_III,DIESEL,MANUAL,120296
2013,RENAULT,FLUENCE,DIESEL,MANUAL,181402
2013,RENAULT,CLIO_III,DIESEL,MANUAL,126937
2013,FORD,FIESTA,DIESEL,MANUAL,100936
2013,RENAULT,CLIO_III,DIESEL,MANUAL,130590
2014,FIAT,LINEA,DIESEL,MANUAL,62267
2013,RENAULT,FLUENCE,DIESEL,MANUAL,192356
2013,RENAULT,FLUENCE,DIESEL,MANUAL,165678
2015,RENAULT,SYMBOL,DIESEL,MANUAL,33913
2014,OPEL,CORSA,DIESEL,MANUAL,64542
2013,RENAULT,FLUENCE,DIESEL,MANUAL,151664
2013,RENAULT,CLIO_III,DIESEL,MANUAL,77310
2013,RENAULT,FLUENCE,DIESEL,MANUAL,167985
2011,RENAULT,FLUENCE,DIESEL,MANUAL,103724
2015,RENAULT,SYMBOL,DIESEL,MANUAL,67967
2013,FORD,FIESTA,DIESEL,MANUAL,121023
2015,RENAULT,SYMBOL,DIESEL,MANUAL,47831
2014,PEUGEOT,301,DIESEL,MANUAL,"96605,0"
2013,RENAULT,FLUENCE,DIESEL,MANUAL,139638
2005,HYUNDAI,TUCSON,DIESEL,AUTOMATIC,170301
2013,RENAULT,FLUENCE,DIESEL,MANUAL,174525
2013,RENAULT,FLUENCE,DIESEL,MANUAL,181510
2013,RENAULT,FLUENCE,DIESEL,MANUAL,168582
2013,RENAULT,FLUENCE,DIESEL,MANUAL,209852
2013,RENAULT,CLIO_III,DIESEL,MANUAL,126098
2014,FIAT,LINEA,DIESEL,MANUAL,53399
2013,RENAULT,FLUENCE,DIESEL,MANUAL,96307
2013,RENAULT,FLUENCE,DIESEL,MANUAL,118684
2013,RENAULT,FLUENCE,DIESEL,MANUAL,112914
2013,RENAULT,FLUENCE,DIESEL,MANUAL,154344
2013,RENAULT,FLUENCE,DIESEL,MANUAL,155781
2013,RENAULT,CLIO_III,DIESEL,MANUAL,87168
2014,FIAT,LINEA,DIESEL,MANUAL,"48405,0"
2013,RENAULT,FLUENCE,DIESEL,MANUAL,113556
2013,RENAULT,FLUENCE,DIESEL,MANUAL,103546
2013,RENAULT,FLUENCE,DIESEL,MANUAL,80149
2013,RENAULT,FLUENCE,DIESEL,MANUAL,95708
2013,RENAULT,FLUENCE,DIESEL,MANUAL,189744
2013,RENAULT,FLUENCE,DIESEL,MANUAL,171727
2013,RENAULT,FLUENCE,DIESEL,MANUAL,165035
2014,PEUGEOT,301,DIESEL,MANUAL,51729
2013,RENAULT,FLUENCE,DIESEL,MANUAL,"177716,0"
2013,RENAULT,FLUENCE,DIESEL,MANUAL,149911
2014,PEUGEOT,301,DIESEL,MANUAL,64809
2014,PEUGEOT,301,DIESEL,MANUAL,60981
2013,PEUGEOT,BOXER,DIESEL,MANUAL,117278
2013,VOLKSWAGEN,POLO,DIESEL,MANUAL,110499
2014,PEUGEOT,301,DIESEL,MANUAL,94865
2014,OPEL,CORSA,DIESEL,MANUAL,48088
2013,RENAULT,FLUENCE,DIESEL,MANUAL,147043
